type,rocket_cd,launch_angle,airbrake_cd,apogee,combined,rms,apogee_error,normalized_rms,max_error,mean_error
rocket_cd,1.0729490168751576,0.0,,196.23343482279154,12.570671974950214,19.79203091445873,-26.74656517720848,0.13882692032258107,25.633155317225693,-19.337430317646817
rocket_cd,1.4270509831248421,0.0,,178.72562552925956,17.796312518251575,26.741750142355063,-44.25437447074046,0.19234727452794004,40.90888385470549,-25.82382899300405
rocket_cd,0.8541019662496845,0.0,,209.5721297683205,8.978754980254255,15.275935914172607,-13.40787023167951,0.10471357249817945,25.42140507798925,-14.254378810834478
rocket_cd,0.7188470506254732,0.0,,219.15637679295043,6.880845974645192,12.996967307880466,-3.823623207049593,0.08783868075912835,25.302839491541167,-10.44598919271811
rocket_cd,0.6352549156242113,0.0,,225.68736403192827,6.400336238329061,12.259199670272471,2.7073640319282504,0.08176393089776365,25.243440053339032,-7.690226678707907
rocket_cd,0.6126213236891842,0.0,,227.54356985482957,6.586206177262873,12.259698383559835,4.563569854829552,0.0817672571147976,25.22724203253641,-6.97468126470631
rocket_cd,0.6551814823225766,0.0,,224.10048539552832,6.311193697782615,12.398290316459569,1.1204853955283056,0.08323100538430885,25.257627789075066,-8.436445300708785
rocket_cd,0.679499565501205,0.0,,222.16955415246332,6.35267747021828,12.54326577092922,-0.8104458475366982,0.08420424060655052,25.274934502799617,-9.188504343086748
rocket_cd,0.6612334810725691,0.0,,223.61735862001314,6.2773013803739754,12.427131036745328,0.6373586200131172,0.0834246161228963,25.261893070398944,-8.625419888075218
rocket_cd,0.6652080649093317,0.0,,223.3002212146198,6.256455472005613,12.44886670108727,0.32022121461977804,0.08357052988597975,25.264751419400223,-8.747674369988559
rocket_cd,0.670666932385188,0.0,,222.8575658702129,6.253636694323581,12.482786562689741,-0.12243412978710921,0.08379823742561707,25.26867179918239,-8.9225835784192
rocket_cd,0.6740002756661195,0.0,,222.59923614800022,6.290251989436013,12.504351208472064,-0.3807638519998022,0.0839430031234195,25.271011514136024,-9.022199735201726
airbrake_cd,0.670666932385188,0.0,0.8257354213751996,222.95333928824363,13.71076906411326,20.8758702705778,32.7283392882436,0.16290116686009795,37.498322510150246,12.473441747137434
airbrake_cd,0.670666932385188,0.0,1.2742645786248001,222.95333928824363,13.71076906411326,20.8758702705778,32.7283392882436,0.16290116686009795,37.498322510150246,12.473441747137434
airbrake_cd,0.670666932385188,0.0,1.5514708427503994,222.95333928824363,13.71076906411326,20.8758702705778,32.7283392882436,0.16290116686009795,37.498322510150246,12.473441747137434
airbrake_cd,0.670666932385188,0.0,1.7227937358744005,222.95333928824363,13.71076906411326,20.8758702705778,32.7283392882436,0.16290116686009795,37.498322510150246,12.473441747137434
airbrake_cd,0.670666932385188,0.0,1.8286771068759988,222.95333928824363,13.71076906411326,20.8758702705778,32.7283392882436,0.16290116686009795,37.498322510150246,12.473441747137434
airbrake_cd,0.670666932385188,0.0,1.8941166289984017,222.95333928824363,13.71076906411326,20.8758702705778,32.7283392882436,0.16290116686009795,37.498322510150246,12.473441747137434
airbrake_cd,0.670666932385188,0.0,1.9345604778775973,222.95333928824363,13.71076906411326,20.8758702705778,32.7283392882436,0.16290116686009795,37.498322510150246,12.473441747137434
airbrake_cd,0.670666932385188,0.0,1.9595561511208044,222.95333928824363,13.71076906411326,20.8758702705778,32.7283392882436,0.16290116686009795,37.498322510150246,12.473441747137434
airbrake_cd,0.670666932385188,0.0,1.9750043267567927,222.95333928824363,13.71076906411326,20.8758702705778,32.7283392882436,0.16290116686009795,37.498322510150246,12.473441747137434
airbrake_cd,0.670666932385188,0.0,1.9845518243640117,222.95333928824363,13.71076906411326,20.8758702705778,32.7283392882436,0.16290116686009795,37.498322510150246,12.473441747137434
airbrake_cd,0.670666932385188,0.0,1.9904525023927813,222.95333928824363,13.71076906411326,20.8758702705778,32.7283392882436,0.16290116686009795,37.498322510150246,12.473441747137434
airbrake_cd,0.670666932385188,0.0,1.9940993219712306,222.95333928824363,13.71076906411326,20.8758702705778,32.7283392882436,0.16290116686009795,37.498322510150246,12.473441747137434
