sim_number,apogee_agl,error,error_pct,flight_time,max_deployment,mean_deployment,control_actions,mean_predicted_apogee,inclination,mass,com,kp,kd,pred_cd,airbrake_cd
1,228.849023675382,0.24902367538200565,0.10893424119947753,6.601147439684461,1.0,0.8873485939005593,210,229.91295971693583,85.49646574966008,0.524003181883464,0.32013678095844794,400.0,0.2,0.8,0.5
2,228.76691952957287,0.1669195295728798,0.07301816691727026,6.621371163433461,0.8250000000000001,0.7252358490566039,212,229.71029927935268,84.55047980032528,0.5256617961087247,0.2960978910404648,400.0,0.2,0.8,0.5
3,228.86417006940093,0.264170069400933,0.11555996036786222,6.6055419909302575,1.0,0.8840476190476192,210,229.90485952076017,86.28279604410939,0.5256194082519884,0.3016695995908964,400.0,0.2,0.8,0.5
4,228.74006084830802,0.1400608483080248,0.06126896251444654,6.6091580744581115,0.8925000000000001,0.7567857142857141,210,229.79854511217792,84.45931482929906,0.5239622951270544,0.28607419029579795,400.0,0.2,0.8,0.5
5,228.76700133892797,0.16700133892797453,0.07305395403673427,6.622908934974792,0.8250000000000001,0.718867924528302,212,229.68541945601189,84.7685784520184,0.5261494055121378,0.2960427876693083,400.0,0.2,0.8,0.5
6,228.70992567307053,0.10992567307053491,0.04808647115946409,6.611160853683134,0.9075000000000012,0.7952142857142865,210,229.74703924898697,85.36138655068603,0.5263625398014893,0.2995090065058058,400.0,0.2,0.8,0.5
7,228.74018077318118,0.1401807731811857,0.061321423088882644,6.602407771503958,0.915,0.8082142857142858,210,229.8261647502507,84.76669081288912,0.5236777977885831,0.3075199190997026,400.0,0.2,0.8,0.5
8,228.78613230473388,0.18613230473388853,0.08142270548289088,6.622126346045988,0.8850000000000002,0.7420754716981135,212,229.72549968761265,85.4210099903936,0.5271951107172413,0.3225191745494023,400.0,0.2,0.8,0.5
9,228.79936572075536,0.19936572075536674,0.08721160138030042,6.6235250453701005,0.8400000000000004,0.7171428571428573,210,229.73982496864298,84.46870803059461,0.52551872811377,0.28813018165867227,400.0,0.2,0.8,0.5
10,228.75777277678623,0.15777277678623136,0.06901696272363576,6.609107702345496,0.8925000000000003,0.8191428571428573,210,229.80444719603082,85.70435196239814,0.5261933529137346,0.2875348912025518,400.0,0.2,0.8,0.5
11,229.11428821755288,0.5142882175528882,0.22497297355769388,6.601930993237151,1.0,0.9088809523809527,210,230.10114445256661,85.84378852186211,0.5234480959428853,0.3137359289274285,400.0,0.2,0.8,0.5
12,228.76515468437685,0.16515468437685854,0.07224614364691975,6.611102161208967,0.8250000000000007,0.7729285714285712,210,229.78130879548715,84.87624907746545,0.5251285009001979,0.29611150759519633,400.0,0.2,0.8,0.5
13,228.74875384881045,0.1487538488104576,0.0650716748952133,6.609669187448978,0.8925000000000001,0.8002857142857143,210,229.7993484228133,85.62573017722116,0.526042773678451,0.3079911363097645,400.0,0.2,0.8,0.5
14,228.92071585102826,0.32071585102826816,0.1402956478688837,6.599259097317939,1.0,0.8982380952380951,210,229.96599426104694,85.2013479205375,0.5230396633284682,0.2975039190415503,400.0,0.2,0.8,0.5
15,228.8740927814843,0.27409278148431326,0.11990060432384657,6.597412052647052,1.0,0.8930238095238092,210,229.95339105803922,84.83104792481883,0.5223852396740002,0.30170036163376907,400.0,0.2,0.8,0.5
16,228.78607275860537,0.18607275860537698,0.08139665730768897,6.599011185955408,1.0,0.8608095238095237,210,229.88651315546153,84.89633396000286,0.5231137401650002,0.3074060597235897,400.0,0.2,0.8,0.5
17,228.74249122281395,0.14249122281395898,0.06233211846629877,6.605530640499563,0.9150000000000005,0.7715714285714287,210,229.8092790222535,84.58600986944826,0.5234876364062199,0.29459220642377554,400.0,0.2,0.8,0.5
18,228.74701054175398,0.14701054175398554,0.06430907338319578,6.605416694740068,0.9149999999999995,0.8069999999999996,210,229.80490524143,84.95666129777602,0.5246314285710747,0.2944586038974642,400.0,0.2,0.8,0.5
19,228.7875404348261,0.18754043482610427,0.08203868540074553,6.618774622931841,0.8400000000000003,0.7302014218009479,211,229.75099438228685,84.46741702237962,0.5248571623098297,0.30507092259201957,400.0,0.2,0.8,0.5
20,228.74554034921897,0.14554034921897596,0.06366594454023446,6.608697241980133,0.8474999999999999,0.7936428571428572,210,229.79413205348155,85.01873695148477,0.5251334385954014,0.2936295181374885,400.0,0.2,0.8,0.5
